Price,Close,High,Low,Open,Volume
Ticker,UCG.MI,UCG.MI,UCG.MI,UCG.MI,UCG.MI
Date,,,,,
2015-01-02,19.71006202697754,19.927651992831883,19.32927855131946,19.546868517173806,9840669
2015-01-05,18.40452003479004,19.89138829840575,18.40452003479004,19.546869116222997,17285858
2015-01-06,18.150663375854492,18.767170334837957,18.132531224281625,18.440783323222757,16502886
2015-01-07,17.972963333129883,18.51331356602298,17.813396543439872,18.241324406198977,19171017
2015-01-08,18.839698791503906,18.98476014458656,18.168796763680767,18.35012103907055,19968387
2015-01-09,17.80614471435547,18.730903726636544,17.48701251189173,18.67650589405227,25397330
2015-01-12,18.016483306884766,18.09626532507549,17.610314280965813,17.98747103638333,15133158
2015-01-13,18.44078254699707,18.676506029724454,17.900433684575805,17.95120481128321,14001914
2015-01-14,18.205059051513672,18.785300257968576,18.07450453846499,18.096263393881365,18732076
2015-01-15,18.422653198242188,18.603977481430693,17.76988191322174,18.404519665482816,20253751
2015-01-16,18.94849395751953,18.94849395751953,18.259458416031787,18.29572271792559,17718485
2015-01-19,19.40180778503418,19.764459094565016,18.93036218708455,19.093554309988026,17179208
2015-01-20,19.61939811706543,19.836988063297515,19.51060245367413,19.56500028536978,14264686
2015-01-21,20.090845108032227,20.090845108032227,19.23861465226907,19.800723778707393,19504477
2015-01-22,20.834278106689453,21.033735912727415,20.03644688253761,20.16337470279364,25647274
2015-01-23,20.399099349975586,21.251327076428606,20.19964153261518,21.03373710673107,23936179
2015-01-26,20.47162437438965,20.616684328785507,19.891384556806212,20.163372316436053,14753559
2015-01-27,20.127107620239258,20.41722754319567,19.927649828069104,20.326565412409412,14415389
2015-01-28,19.474336624145508,20.326565632756527,19.401806642620155,20.254035651231174,18102295
2015-01-29,19.54686737060547,19.836988688610802,19.166085297833707,19.419940933381916,15580415
2015-01-30,18.984760284423828,19.80072367133981,18.803434627147855,19.74632583610196,20260984
2015-02-02,19.238615036010742,19.256748568583784,18.64024159431553,19.07542290670779,15100233
2015-02-03,20.217771530151367,20.23590368055598,19.36554251397787,19.401806814787097,22001212
2015-02-04,20.07271385192871,20.344703060434515,19.90952170737599,20.235907377032195,14052301
2015-02-05,19.927650451660156,20.018313965834007,19.54686700545124,19.764458335028063,10699880
2015-02-06,20.03644561767578,20.27216771144874,19.873252124555584,19.963915636472525,10660736
2015-02-09,19.61939811706543,19.85512021367923,19.401806790282834,19.764458081220152,12510795
2015-02-10,19.909517288208008,20.127107226165062,19.51060171167818,19.710059499943096,15163922
2015-02-11,19.220481872558594,20.163372988090376,19.021024083482622,19.945783049248533,21398332
2015-02-12,19.32927703857422,19.619398350891878,18.894095760372995,19.1479513909445,22625580
2015-02-13,20.054576873779297,20.199638210269274,19.45620352011584,19.528733498085614,18140845
2015-02-16,20.127107620239258,20.399096773698997,19.7825898665909,20.054577639500156,9970459
2015-02-17,20.19964027404785,20.417228849637567,19.637531161663897,19.982048937356993,14150756
2015-02-18,20.816144943237305,20.816144943237305,20.362832869215104,20.380965020843846,15417263
2015-02-19,21.07000160217285,21.323857259393716,20.72548380189483,20.798015173001364,17614960
2015-02-20,21.19692611694336,21.25132256240031,20.83427486392815,20.88867268993547,16116941
2015-02-23,21.23319435119629,21.57771213905958,21.106266527159715,21.468916466870912,12864864
2015-02-24,21.523313522338867,21.523313522338867,20.961205791035873,21.26945788347278,13119992
2015-02-25,21.033737182617188,21.505182808938077,20.96120719245633,21.41452066637467,10020647
2015-02-26,21.45078468322754,21.50518252025562,21.051869052422493,21.070001204581637,10652312
2015-02-27,21.55957794189453,21.55957794189453,21.23319233684274,21.468914430154847,11888882
2015-03-02,21.487051010131836,21.831568814203035,21.305725341470428,21.523315315533708,12137550
2015-03-03,21.378253936767578,21.777169553442008,21.251326115048386,21.541447442071078,13554096
2015-03-04,21.66837501525879,21.66837501525879,21.215060188132018,21.487049360518196,12146881
2015-03-05,22.012889862060547,22.04915415985005,21.577708624733738,21.74090210643769,18251044
2015-03-06,22.1942195892334,22.411809557784018,21.922230402856812,22.01289392516589,14759841
2015-03-09,22.248611450195312,22.42993707680747,21.97662370055226,22.049153675087048,12268875
2015-03-10,21.994762420654297,22.393678065020204,21.849701056797947,22.30301454004115,11980705
2015-03-11,22.212350845336914,22.303012983437657,21.976627353504146,21.994760885564773,12452781
2015-03-12,22.5931339263916,22.611266077593484,22.230482619050523,22.303012604408625,13341352
2015-03-13,22.502470016479492,22.738193500191475,22.4118078815021,22.701927817870192,11381412
2015-03-16,22.828855514526367,22.93765118036473,22.611265563400185,22.629397714189732,14238185
2015-03-17,22.53873634338379,22.883254122811362,22.429940673859043,22.82885628804899,12550820
2015-03-18,22.031024932861328,22.73819401960062,21.86783281006411,22.64753050200165,16888629
2015-03-19,22.484338760375977,22.738194405075713,22.085423141719414,22.121688825483922,14928168
2015-03-20,22.846986770629883,22.901384601418847,22.429939035498617,22.665662508733973,14999346
2015-03-23,22.738191604614258,23.082709345468164,22.5568659692252,22.883251560705332,12931979
2015-03-24,23.064579010009766,23.19150682670931,22.52060344161203,22.629397726961255,15601150
2015-03-25,22.955785751342773,23.19150925866096,22.79259361593071,22.992051437295835,11256861
2015-03-26,22.647531509399414,22.88325500898139,22.303013716630147,22.72006287892513,14210782
2015-03-27,22.611265182495117,22.810722979471727,22.393675235034415,22.77445867850353,11405830
2015-03-30,23.118976593017578,23.15524089422508,22.683795314673862,22.701927465277613,13592515
2015-03-31,22.955785751342773,23.173377105959773,22.77446146322952,23.010183589997023,14078288
2015-04-01,23.209636688232422,23.300300194389834,22.792588977669627,22.828853275692268,14404208
2015-04-02,23.24590301513672,23.33656652920716,23.173374412761206,23.24590301513672,7687217
2015-04-07,23.463497161865234,23.572292839593292,23.336569331366068,23.390965789679406,9478549
2015-04-08,23.118976593017578,23.53602572075754,23.064578760655795,23.445362206637732,9094512
2015-04-09,23.24590301513672,23.300302228019405,23.10084304928464,23.264035165730597,7874018
2015-04-10,23.463497161865234,23.55416068682218,23.300305025823842,23.372833636908293,10664185
2015-04-13,23.536026000976562,23.554158151796194,23.390963272217338,23.463494636596952,6480238
2015-04-14,22.937650680541992,23.572289749852434,22.792590716285467,23.42722978559591,13057745
2015-04-15,23.24590301513672,23.282170077425526,22.93765093283869,22.93765093283869,6923582
2015-04-16,22.520601272583008,23.318432397538235,22.448069915268526,23.245901040223753,13965895
2015-04-17,21.7227725982666,22.756327365403262,21.559580466903263,22.44807387437727,18860492
2015-04-20,22.502470016479492,22.502470016479492,21.740904493237974,21.759036644123345,13304615
2015-04-21,22.067289352416992,22.756324867851312,21.885963708152516,22.68379488625562,15324147
2015-04-22,22.81072425842285,22.82885640992358,22.212350833943443,22.28488082049695,17506322
2015-04-23,22.665660858154297,22.955780760500755,22.28487745091178,22.86511863615508,13202261
2015-04-24,23.264034271240234,23.318433482031296,22.810722240519745,22.937650050897634,20528543
2015-04-27,23.753612518310547,23.771744667562576,22.992047063670668,23.372829100715396,15760760
2015-04-28,23.572294235229492,23.898678526636395,23.499762858749325,23.86241421894708,14424838
2015-04-29,23.064579010009766,23.789881608607466,23.028313327859667,23.55415812600816,13542667
2015-04-30,23.390962600708008,23.463493963005384,22.73819276498613,23.100842673720507,13524572
2015-05-04,23.554155349731445,23.73547959745804,23.10084058876383,23.39096048956668,9582900
2015-05-05,22.683795928955078,23.789881995646383,22.683795928955078,23.49975929482663,16951628
2015-05-06,23.10084342956543,23.209639096020716,22.611265691617724,22.611265691617724,15449163
2015-05-07,23.445363998413086,23.481628302392032,22.647531363718077,22.992050534821846,14643361
2015-05-08,23.71735191345215,23.753616217603863,23.300304132403582,23.644820544047437,13554733
2015-05-11,23.662952423095703,23.826147312098005,23.409096774760172,23.59042381562912,9349869
2015-05-12,22.865121841430664,23.8805430225373,22.756326172524368,23.57229092822043,18993816
2015-05-13,22.846986770629883,23.1552402247337,22.738192489602433,22.955782432207812,14489404
2015-05-14,23.0283145904541,23.0283145904541,22.46620684043739,22.73819463954878,12490371
2015-05-15,22.937650680541992,23.245902759449486,22.883252848808166,23.137108476532344,11832199
2015-05-18,23.38124656677246,23.436696409224954,23.03006610757235,23.251864070133063,11219262
2015-05-19,23.954225540161133,23.954225540161133,23.492145385415064,23.510629604824395,12869725
2015-05-20,24.00967788696289,24.00967788696289,23.713944435408948,23.861809753936566,7406186
2015-05-21,23.806358337402344,23.917258016052223,23.640010226676704,23.88029239466838,7198395
2015-05-22,23.8618106842041,23.954227567323805,23.732430988134855,23.787879429307388,5472603
2015-05-25,23.10399627685547,23.658491827244227,23.08551205985983,23.658491827244227,6027565
2015-05-26,23.08551788330078,23.34428291402344,22.86371988864541,23.177934769844278,9855255
2015-05-27,23.935745239257812,24.028162124252663,23.122484531899964,23.177934381446985,12983107
2015-05-28,23.695463180541992,23.898779765948593,23.529115038072245,23.806362880354783,7322853
2015-05-29,23.547595977783203,23.972709114475343,23.492146132290895,23.73242973425712,14496825
2015-06-01,23.36276626586914,23.86181067982685,23.288832196487178,23.640014100678584,10722545
2015-06-02,23.806358337402344,23.93574082674414,23.21489713726747,23.49214351939381,11581751
2015-06-03,24.120576858520508,24.41631033574252,23.60304819875515,23.7878805665818,16771418
2015-06-04,24.028162002563477,24.212992957118242,23.843328233509855,24.046644816569067,11551647
2015-06-05,23.38124656677246,23.880293741595636,23.251864070133063,23.824842491893886,10716573
2015-06-08,22.919170379638672,23.547598752349504,22.919170379638672,23.4367004555473,8257251
2015-06-09,22.919170379638672,23.122485565567132,22.567989859807604,22.882203342538272,10005335
2015-06-10,23.510631561279297,23.56608140962301,22.73433649896609,22.91916885769534,10655828
