"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-30";"CT";17,05;17,35;17,05;17,25;17,2882308027920;2,37;70;9168,00000;158498,50;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-29";"CT";16,80;16,90;16,70;16,85;16,7895165771440;0,90;73;16197,00000;271939,80;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-26";"CT";16,25;16,70;16,25;16,70;16,4519621342510;3,09;31;5810,00000;95585,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-25";"CT";16,25;16,35;16,20;16,20;16,2971792503660;-0,31;53;12993,00000;211749,25;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-24";"CT";15,90;16,25;15,90;16,25;16,0171524800980;1,88;30;8165,00000;130780,05;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-23";"CT";15,90;15,95;15,80;15,95;15,8658467845250;0,31;29;3903,00000;61924,40;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-22";"CT";15,95;15,95;15,80;15,90;15,8497135027400;-0,31;22;4014,00000;63620,75;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-19";"CT";15,75;15,95;15,55;15,95;15,8694281641060;2,90;27;6313,00000;100183,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-18";"CT";15,90;15,90;15,25;15,50;15,5897538180990;-2,52;38;4387,00000;68392,25;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-17";"CT";15,95;15,95;15,90;15,90;15,9082612456750;-0,31;14;1156,00000;18389,95;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-16";"CT";15,80;15,95;15,80;15,95;15,8819398207430;0,95;33;7810,00000;124037,95;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-15";"CT";15,75;15,80;15,75;15,80;15,7975739095850;0,00;43;7543,00000;119161,10;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-12";"CT";15,75;15,80;15,75;15,80;15,7930881281860;0,32;41;6865,00000;108419,55;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-11";"CT";15,50;15,75;15,50;15,75;15,6202078206180;2,27;33;3657,00000;57123,10;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-10";"CT";15,30;15,50;15,25;15,40;15,3578060263650;0,65;49;10620,00000;163099,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-09";"CT";15,15;15,30;15,00;15,30;15,1544596457740;1,32;34;9429,00000;142891,40;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-08";"CT";15,30;15,30;15,05;15,10;15,2081053268770;-1,31;43;8260,00000;125618,95;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-05";"CT";15,25;15,30;15,25;15,30;15,2899531145340;0,33;29;5972,00000;91311,60;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-04";"CT";15,25;15,25;15,20;15,25;15,2237413980440;0,00;17;2761,00000;42032,75;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-03";"CT";15,00;15,25;15,00;15,25;15,1469724053180;1,67;45;8951,00000;135580,55;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-01-02";"CT";15,00;15,00;14,95;15,00;14,9940568831350;0,00;52;14521,00000;217728,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-29";"CT";14,80;15,00;14,80;15,00;14,9712629982670;1,35;29;4616,00000;69107,35;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-28";"CT";14,90;14,95;14,80;14,80;14,8996102208750;-1,00;13;2309,00000;34403,20;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-27";"CT";14,90;14,95;14,90;14,95;14,9100840336130;2,40;11;1190,00000;17743,00;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-22";"CT";14,70;14,95;14,60;14,60;14,7417426545090;-1,35;19;3948,00000;58200,40;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-21";"CT";14,90;14,90;14,60;14,80;14,6617503059980;0,00;20;1634,00000;23957,30;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-20";"CT";14,10;14,80;14,10;14,80;14,3957947120500;4,96;50;13162,00000;189477,45;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-19";"CT";14,10;14,20;14,10;14,10;14,1381989832970;0,71;21;2754,00000;38936,60;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-19";"BLOCK";;14,50;14,50;14,50;14,5000000000000;;1;40000,00000;580000,00;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-18";"CT";14,00;14,10;13,90;14,00;13,9989953632150;-0,71;17;1294,00000;18114,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-15";"CT";14,00;14,10;13,95;14,10;14,0014139693360;0,71;30;5870,00000;82188,30;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-14";"CT";14,00;14,00;13,95;14,00;13,9968375499330;0,00;10;1502,00000;21023,25;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-13";"CT";13,90;14,00;13,90;14,00;13,9788497652580;0,72;17;2130,00000;29774,95;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-12";"CT";13,95;13,95;13,90;13,90;13,9354452054790;-0,36;17;1752,00000;24414,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-11";"CT";13,95;13,95;13,90;13,95;13,9252414844940;0,36;13;1967,00000;27390,95;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-08";"CT";13,90;13,90;13,80;13,90;13,8962365591400;0,00;5;186,00000;2584,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-07";"CT";13,85;13,90;13,80;13,90;13,8249463135290;-0,36;12;1397,00000;19313,45;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-06";"CT";14,00;14,00;13,80;13,95;13,9505555555560;-0,36;30;5130,00000;71566,35;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-05";"CT";13,70;14,00;13,70;14,00;13,8191731236920;2,56;70;17681,00000;244336,80;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-04";"CT";13,65;13,70;13,65;13,65;13,6519245573520;0,74;11;2598,00000;35467,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-12-01";"CT";13,55;13,60;13,45;13,55;13,5665141612200;0,74;13;2295,00000;31135,15;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-30";"CT";13,70;13,70;13,45;13,45;13,5048114434330;-1,10;8;1538,00000;20770,40;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-29";"CT";13,70;13,70;13,50;13,60;13,6278884462150;-0,37;19;3012,00000;41047,20;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-28";"CT";13,65;13,70;13,60;13,65;13,6591383965250;0,37;29;8519,00000;116362,20;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-27";"CT";13,40;13,60;13,40;13,60;13,4896307934010;1,49;13;2546,00000;34344,60;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-24";"CT";13,15;13,50;13,15;13,40;13,3236526946110;2,29;25;3674,00000;48951,10;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-23";"CT";12,80;13,20;12,80;13,10;13,0116964085720;2,75;28;13393,00000;174265,65;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-22";"CT";12,60;12,75;12,60;12,75;12,6660601976640;0,79;15;2226,00000;28194,65;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-21";"CT";12,65;12,65;12,60;12,65;12,6426870748300;0,00;5;294,00000;3716,95;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-20";"CT";12,40;12,65;12,35;12,65;12,5404882405480;1,20;17;3359,00000;42123,50;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-17";"CT";12,50;12,50;12,35;12,50;12,4376542923430;0,00;63;21550,00000;268031,45;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-16";"CT";12,55;12,60;12,50;12,50;12,5160451632590;-0,40;43;16385,00000;205075,40;"EUR";"EUR"
